id,epic_id,initiative_id,title,source_refs
"I02-E04-F04","I02-E04","I02","Flow dashboard","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E05-F01","I02-E05","I02","Advance decline","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F02","I02-E05","I02","New highs lows","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F03","I02-E05","I02","Volume breadth","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F04","I02-E05","I02","Participation score","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E06-F01","I02-E06","I02","Sector map","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F02","I02-E06","I02","Relative strength","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F03","I02-E06","I02","Rotation signal","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F04","I02-E06","I02","Sector regime","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I03-E01-F01","I03-E01","I03","SMA","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F02","I03-E01","I03","EMA","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F03","I03-E01","I03","WMA","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F04","I03-E01","I03","VWAP","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F05","I03-E01","I03","MACD","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E01-F06","I03-E01","I03","RSI","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F01","I03-E02","I03","OBV","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F02","I03-E02","I03","Accumulation Distribution","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E02-F03","I03-E02","I03","PVT","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E02-F04","I03-E02","I03","MFI","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E03-F01","I03-E03","I03","Dow primary trend","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F02","I03-E03","I03","Dow secondary trend","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F03","I03-E03","I03","Dow minor trend","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E03-F04","I03-E03","I03","Elliott wave counter","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F01","I03-E04","I03","Doji","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F02","I03-E04","I03","Hammer","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F03","I03-E04","I03","Engulfing","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E04-F04","I03-E04","I03","Morning evening star","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I03-E05-F01","I03-E05","I03","ADX","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F02","I03-E05","I03","ATR","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F03","I03-E05","I03","Bollinger Bands","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E05-F04","I03-E05","I03","Parabolic SAR","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F01","I03-E06","I03","Indicator comparison","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F02","I03-E06","I03","Signal overlay","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F03","I03-E06","I03","Divergence view","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E06-F04","I03-E06","I03","Parameter lab","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I03-E07-F01","I03-E07","I03","TradingView parity","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E07-F02","I03-E07","I03","Fixture library","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E07-F03","I03-E07","I03","Tolerance reports","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03-E07-F04","I03-E07","I03","Indicator audit","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I04-E01-F01","I04-E01","I04","Chain ingestion","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F02","I04-E01","I04","OI buildup","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F03","I04-E01","I04","PCR","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E01-F04","I04-E01","I04","IV rank","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F01","I04-E02","I04","Delta","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F02","I04-E02","I04","Gamma","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F03","I04-E02","I04","Theta","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F04","I04-E02","I04","Vega","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E02-F05","I04-E02","I04","Rho","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F01","I04-E03","I04","Covered call","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F02","I04-E03","I04","Protective put","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F03","I04-E03","I04","Vertical spreads","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E03-F04","I04-E03","I04","Iron condor","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F01","I04-E04","I04","Contract master","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F02","I04-E04","I04","Basis tracker","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F03","I04-E04","I04","Rollover","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E04-F04","I04-E04","I04","Cost of carry","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F01","I04-E05","I04","SPAN margin placeholder","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F02","I04-E05","I04","Expiry calendar","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F03","I04-E05","I04","Assignment risk","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E05-F04","I04-E05","I04","MTM risk","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E06-F01","I04-E06","I04","Payoff engine","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E06-F02","I04-E06","I04","Options replay","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E06-F03","I04-E06","I04","Futures replay","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I04-E06-F04","I04-E06","I04","Slippage model","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E01-F01","I05-E01","I05","Dataset registry","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E01-F02","I05-E01","I05","Notebook handoff","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E01-F03","I05-E01","I05","Research run","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E01-F04","I05-E01","I05","Hypothesis tracker","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E02-F01","I05-E02","I05","Momentum factor","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E02-F02","I05-E02","I05","Value factor","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I05-E02-F03","I05-E02","I05","Volatility factor","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E02-F04","I05-E02","I05","Quality factor","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I05-E03-F01","I05-E03","I05","Trend regime","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I05-E03-F02","I05-E03","I05","Volatility regime","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E03-F03","I05-E03","I05","Risk-on risk-off","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E03-F04","I05-E03","I05","Liquidity regime","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E04-F01","I05-E04","I05","Parameter sweep","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E04-F02","I05-E04","I05","Walk-forward split","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E04-F03","I05-E04","I05","Monte Carlo","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E04-F04","I05-E04","I05","Robustness score","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E05-F01","I05-E05","I05","Look-ahead guard","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E05-F02","I05-E05","I05","Survivorship guard","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E05-F03","I05-E05","I05","Cross validation","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E05-F04","I05-E05","I05","Significance test","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E06-F01","I05-E06","I05","Research report","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E06-F02","I05-E06","I05","Equity curve","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E06-F03","I05-E06","I05","Trade distribution","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I05-E06-F04","I05-E06","I05","Model comparison","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E01-F01","I06-E01","I06","Feature schema","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I06-E01-F02","I06-E01","I06","Feature lineage","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E01-F03","I06-E01","I06","Feature freshness","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E01-F04","I06-E01","I06","Feature materialization","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E02-F01","I06-E02","I06","Training job","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E02-F02","I06-E02","I06","Label generator","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E02-F03","I06-E02","I06","Train test split","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E02-F04","I06-E02","I06","Hyperparameter search","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E03-F01","I06-E03","I06","Realtime inference","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E03-F02","I06-E03","I06","Batch inference","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E03-F03","I06-E03","I06","Signal ensemble","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E03-F04","I06-E03","I06","Prediction audit","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E04-F01","I06-E04","I06","Feature importance","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E04-F02","I06-E04","I06","SHAP-ready output","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E04-F03","I06-E04","I06","AI explanation","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E04-F04","I06-E04","I06","Human review","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I06-E05-F01","I06-E05","I06","Model registry","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E05-F02","I06-E05","I06","Model approval","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E05-F03","I06-E05","I06","Drift detection","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E05-F04","I06-E05","I06","Rollback","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E06-F01","I06-E06","I06","OpenAI summaries","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E06-F02","I06-E06","I06","Document QA","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E06-F03","I06-E06","I06","Strategy critique","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06-E06-F04","I06-E06","I06","Risk explanation","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I07-E01-F01","I07-E01","I07","Holdings ledger","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I07-E01-F02","I07-E01","I07","Allocation model","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I07-E01-F03","I07-E01","I07","Correlation matrix","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I07-E01-F04","I07-E01","I07","Rebalancing","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I07-E02-F01","I07-E02","I07","Risk policy","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I07-E02-F02","I07-E02","I07","Pre-trade risk","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I07-E02-F03","I07-E02","I07","Portfolio heat","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I07-E02-F04","I07-E02","I07","VaR expected shortfall","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I07-E03-F01","I07-E03","I07","Position sizing","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I07-E03-F02","I07-E03","I07","ATR stop","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I07-E03-F03","I07-E03","I07","Support resistance stop","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I07-E03-F04","I07-E03","I07","Trailing stop","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I07-E04-F01","I07-E04","I07","Daily loss limit","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I07-E04-F02","I07-E04","I07","Max drawdown guard","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I07-E04-F03","I07-E04","I07","Kill switch","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I07-E04-F04","I07-E04","I07","Recovery mode","4823_Technical Analysis.pdf; Idenitfying-Chart-Patterns.pdf; TA_wrkbk.pdf"
"I07-E05-F01","I07-E05","I07","Sector exposure","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I07-E05-F02","I07-E05","I07","Factor exposure","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I07-E05-F03","I07-E05","I07","Benchmark comparison","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I07-E05-F04","I07-E05","I07","Cash allocation","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I07-E06-F01","I07-E06","I07","Risk dashboard","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I07-E06-F02","I07-E06","I07","Exception workflow","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I07-E06-F03","I07-E06","I07","Audit report","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I07-E06-F04","I07-E06","I07","Stress test","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E01-F01","I08-E01","I08","Kite auth","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I08-E01-F02","I08-E01","I08","Token vault","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I08-E01-F03","I08-E01","I08","Instrument sync","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I08-E01-F04","I08-E01","I08","Broker health","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E02-F01","I08-E02","I08","Order intent","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E02-F02","I08-E02","I08","Order status","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E02-F03","I08-E02","I08","Basket order","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E02-F04","I08-E02","I08","Order audit","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E03-F01","I08-E03","I08","Idempotency","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E03-F02","I08-E03","I08","Rate limit","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E03-F03","I08-E03","I08","Slippage guard","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I08-E03-F04","I08-E03","I08","Execution kill switch","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
