id,feature_id,epic_id,initiative_id,title,phase,points,source_refs
"I01-E03-F01-S2","I01-E03-F01","I01-E03","I01","Validate Instrument profile","Phase 3","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F01-S3","I01-E03-F01","I01-E03","I01","Expose Instrument profile","Institutional","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F02-S1","I01-E03-F02","I01-E03","I01","Validate Multi-timeframe chart shell","Future","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F02-S2","I01-E03-F02","I01-E03","I01","Expose Multi-timeframe chart shell","MVP","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F02-S3","I01-E03-F02","I01-E03","I01","Monitor Multi-timeframe chart shell","MVP","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F03-S1","I01-E03-F03","I01-E03","I01","Expose Watchlist manager","Phase 2","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F03-S2","I01-E03-F03","I01-E03","I01","Monitor Watchlist manager","Phase 2","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F03-S3","I01-E03-F03","I01-E03","I01","Backtest Watchlist manager","Phase 3","3","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I01-E03-F04-S1","I01-E03-F04","I01-E03","I01","Monitor Annotations","Institutional","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F04-S2","I01-E03-F04","I01-E03","I01","Backtest Annotations","Future","8","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I01-E03-F04-S3","I01-E03-F04","I01-E03","I01","Document Annotations","MVP","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E04-F01-S1","I01-E04-F01","I01-E04","I01","Backtest Journal schema","MVP","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I01-E04-F01-S2","I01-E04-F01","I01-E04","I01","Document Journal schema","Phase 2","5","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I01-E04-F01-S3","I01-E04-F01","I01-E04","I01","Secure Journal schema","Phase 2","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I01-E04-F02-S1","I01-E04-F02","I01-E04","I01","Document Trade review","Phase 3","13","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E04-F02-S2","I01-E04-F02","I01-E04","I01","Secure Trade review","Institutional","3","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E04-F02-S3","I01-E04-F02","I01-E04","I01","Build Trade review","Future","5","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E04-F03-S1","I01-E04-F03","I01-E04","I01","Secure Mistake taxonomy","MVP","8","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E04-F03-S2","I01-E04-F03","I01-E04","I01","Build Mistake taxonomy","MVP","13","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E04-F03-S3","I01-E04-F03","I01-E04","I01","Store Mistake taxonomy","Phase 2","3","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E04-F04-S1","I01-E04-F04","I01-E04","I01","Build Performance tags","Phase 2","5","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E04-F04-S2","I01-E04-F04","I01-E04","I01","Store Performance tags","Phase 3","8","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E04-F04-S3","I01-E04-F04","I01-E04","I01","Validate Performance tags","Institutional","13","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E05-F01-S1","I01-E05-F01","I01-E05","I01","Store Strategy catalog","Future","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E05-F01-S2","I01-E05-F01","I01-E05","I01","Validate Strategy catalog","MVP","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E05-F01-S3","I01-E05-F01","I01-E05","I01","Expose Strategy catalog","MVP","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E05-F02-S1","I01-E05-F02","I01-E05","I01","Validate Strategy approvals","Phase 2","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E05-F02-S2","I01-E05-F02","I01-E05","I01","Expose Strategy approvals","Phase 2","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E05-F02-S3","I01-E05-F02","I01-E05","I01","Monitor Strategy approvals","Phase 3","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E05-F03-S1","I01-E05-F03","I01-E05","I01","Expose Versioning","Institutional","8","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I01-E05-F03-S2","I01-E05-F03","I01-E05","I01","Monitor Versioning","Future","13","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I01-E05-F03-S3","I01-E05-F03","I01-E05","I01","Backtest Versioning","MVP","3","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I01-E05-F04-S1","I01-E05-F04","I01-E05","I01","Monitor Source traceability","MVP","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E05-F04-S2","I01-E05-F04","I01-E05","I01","Backtest Source traceability","Phase 2","8","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I01-E05-F04-S3","I01-E05-F04","I01-E05","I01","Document Source traceability","Phase 2","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F01-S1","I01-E06-F01","I01-E06","I01","Backtest Angular shell","Phase 3","3","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I01-E06-F01-S2","I01-E06-F01","I01-E06","I01","Document Angular shell","Institutional","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F01-S3","I01-E06-F01","I01-E06","I01","Secure Angular shell","Future","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F02-S1","I01-E06-F02","I01-E06","I01","Document Dashboard layout","MVP","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F02-S2","I01-E06-F02","I01-E06","I01","Secure Dashboard layout","MVP","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F02-S3","I01-E06-F02","I01-E06","I01","Build Dashboard layout","Phase 2","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F03-S1","I01-E06-F03","I01-E06","I01","Secure Responsive tables","Phase 2","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F03-S2","I01-E06-F03","I01-E06","I01","Build Responsive tables","Phase 3","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F03-S3","I01-E06-F03","I01-E06","I01","Store Responsive tables","Institutional","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F04-S1","I01-E06-F04","I01-E06","I01","Build Export flows","Future","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F04-S2","I01-E06-F04","I01-E06","I01","Store Export flows","MVP","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F04-S3","I01-E06-F04","I01-E06","I01","Validate Export flows","MVP","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E01-F01-S1","I02-E01-F01","I02-E01","I02","Store NIFTY feed","Phase 2","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F01-S2","I02-E01-F01","I02-E01","I02","Validate NIFTY feed","Phase 2","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F01-S3","I02-E01-F01","I02-E01","I02","Expose NIFTY feed","Phase 3","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F02-S1","I02-E01-F02","I02-E01","I02","Validate BANKNIFTY feed","Institutional","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F02-S2","I02-E01-F02","I02-E01","I02","Expose BANKNIFTY feed","Future","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F02-S3","I02-E01-F02","I02-E01","I02","Monitor BANKNIFTY feed","MVP","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F03-S1","I02-E01-F03","I02-E01","I02","Expose FINNIFTY feed","MVP","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F03-S2","I02-E01-F03","I02-E01","I02","Monitor FINNIFTY feed","Phase 2","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F03-S3","I02-E01-F03","I02-E01","I02","Backtest FINNIFTY feed","Phase 2","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F04-S1","I02-E01-F04","I02-E01","I02","Monitor India VIX feed","Phase 3","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F04-S2","I02-E01-F04","I02-E01","I02","Backtest India VIX feed","Institutional","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F04-S3","I02-E01-F04","I02-E01","I02","Document India VIX feed","Future","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F01-S1","I02-E02-F01","I02-E02","I02","Backtest GIFT NIFTY","MVP","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F01-S2","I02-E02-F01","I02-E02","I02","Document GIFT NIFTY","MVP","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F01-S3","I02-E02-F01","I02-E02","I02","Secure GIFT NIFTY","Phase 2","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F02-S1","I02-E02-F02","I02-E02","I02","Document US indices","Phase 2","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F02-S2","I02-E02-F02","I02-E02","I02","Secure US indices","Phase 3","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F02-S3","I02-E02-F02","I02-E02","I02","Build US indices","Institutional","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F03-S1","I02-E02-F03","I02-E02","I02","Secure Asia Europe indices","Future","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F03-S2","I02-E02-F03","I02-E02","I02","Build Asia Europe indices","MVP","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F03-S3","I02-E02-F03","I02-E02","I02","Store Asia Europe indices","MVP","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F04-S1","I02-E02-F04","I02-E02","I02","Build Commodity feeds","Phase 2","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F04-S2","I02-E02-F04","I02-E02","I02","Store Commodity feeds","Phase 2","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F04-S3","I02-E02-F04","I02-E02","I02","Validate Commodity feeds","Phase 3","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F01-S1","I02-E03-F01","I02-E03","I02","Store USDINR","Institutional","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F01-S2","I02-E03-F01","I02-E03","I02","Validate USDINR","Future","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F01-S3","I02-E03-F01","I02-E03","I02","Expose USDINR","MVP","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F02-S1","I02-E03-F02","I02-E03","I02","Validate US 10Y yield","MVP","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F02-S2","I02-E03-F02","I02-E03","I02","Expose US 10Y yield","Phase 2","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F02-S3","I02-E03-F02","I02-E03","I02","Monitor US 10Y yield","Phase 2","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F03-S1","I02-E03-F03","I02-E03","I02","Expose RBI calendar","Phase 3","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F03-S2","I02-E03-F03","I02-E03","I02","Monitor RBI calendar","Institutional","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F03-S3","I02-E03-F03","I02-E03","I02","Backtest RBI calendar","Future","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F04-S1","I02-E03-F04","I02-E03","I02","Monitor Fed calendar","MVP","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F04-S2","I02-E03-F04","I02-E03","I02","Backtest Fed calendar","MVP","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F04-S3","I02-E03-F04","I02-E03","I02","Document Fed calendar","Phase 2","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F01-S1","I02-E04-F01","I02-E04","I02","Backtest FII ingestion","Phase 2","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F01-S2","I02-E04-F01","I02-E04","I02","Document FII ingestion","Phase 3","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F01-S3","I02-E04-F01","I02-E04","I02","Secure FII ingestion","Institutional","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F02-S1","I02-E04-F02","I02-E04","I02","Document DII ingestion","Future","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F02-S2","I02-E04-F02","I02-E04","I02","Secure DII ingestion","MVP","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F02-S3","I02-E04-F02","I02-E04","I02","Build DII ingestion","MVP","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F03-S1","I02-E04-F03","I02-E04","I02","Secure Net flow calculation","Phase 2","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F03-S2","I02-E04-F03","I02-E04","I02","Build Net flow calculation","Phase 2","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F03-S3","I02-E04-F03","I02-E04","I02","Store Net flow calculation","Phase 3","3","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F04-S1","I02-E04-F04","I02-E04","I02","Build Flow dashboard","Institutional","5","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F04-S2","I02-E04-F04","I02-E04","I02","Store Flow dashboard","Future","8","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F04-S3","I02-E04-F04","I02-E04","I02","Validate Flow dashboard","MVP","13","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E05-F01-S1","I02-E05-F01","I02-E05","I02","Store Advance decline","MVP","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F01-S2","I02-E05-F01","I02-E05","I02","Validate Advance decline","Phase 2","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F01-S3","I02-E05-F01","I02-E05","I02","Expose Advance decline","Phase 2","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F02-S1","I02-E05-F02","I02-E05","I02","Validate New highs lows","Phase 3","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F02-S2","I02-E05-F02","I02-E05","I02","Expose New highs lows","Institutional","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F02-S3","I02-E05-F02","I02-E05","I02","Monitor New highs lows","Future","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F03-S1","I02-E05-F03","I02-E05","I02","Expose Volume breadth","MVP","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F03-S2","I02-E05-F03","I02-E05","I02","Monitor Volume breadth","MVP","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F03-S3","I02-E05-F03","I02-E05","I02","Backtest Volume breadth","Phase 2","3","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I02-E05-F04-S1","I02-E05-F04","I02-E05","I02","Monitor Participation score","Phase 2","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E05-F04-S2","I02-E05-F04","I02-E05","I02","Backtest Participation score","Phase 3","8","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I02-E05-F04-S3","I02-E05-F04","I02-E05","I02","Document Participation score","Institutional","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E06-F01-S1","I02-E06-F01","I02-E06","I02","Backtest Sector map","Future","3","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F01-S2","I02-E06-F01","I02-E06","I02","Document Sector map","MVP","5","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F01-S3","I02-E06-F01","I02-E06","I02","Secure Sector map","MVP","8","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F02-S1","I02-E06-F02","I02-E06","I02","Document Relative strength","Phase 2","13","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F02-S2","I02-E06-F02","I02-E06","I02","Secure Relative strength","Phase 2","3","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F02-S3","I02-E06-F02","I02-E06","I02","Build Relative strength","Phase 3","5","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F03-S1","I02-E06-F03","I02-E06","I02","Secure Rotation signal","Institutional","8","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I02-E06-F03-S2","I02-E06-F03","I02-E06","I02","Build Rotation signal","Future","13","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
